,Neighborhood,Neighborhood Latitude,Neighborhood Longitude
0,Purvciems,56.9580822,24.1839645
1,Ķengarags,56.9074565,24.1827129
2,Imanta,56.956672,24.0152332
3,Pļavnieki,56.9396602,24.2040923
4,Centrs,56.95712709999999,24.1156197
5,Ziepniekkalns,56.9080405,24.0950873
6,Maskavas forštate,56.9409298,24.1372626
7,Teika,56.97486749999999,24.1751682
8,Āgenskalns,56.94302949999999,24.0778718
9,Jugla,56.9841981,24.2318278
10,Iļģuciems,56.9696727,24.0542109
11,Vecmīlgrāvis,57.0364257,24.0969428
12,Avoti,56.95210489999999,24.1397111
13,Zolitūde,56.943299,24.0074556
14,Dārzciems,56.9445051,24.1728547
15,Sarkandaugava,56.9924407,24.1186125
16,Mežciems,56.97036379999999,24.2320497
17,Brasa,56.9702918,24.1390543
18,Bolderāja,57.0237445,24.0385876
19,Grīziņkalns,56.9639034,24.1505432
20,Dzirciems,56.9561121,24.062006
21,Bieriņi,56.9208098,24.0590718
22,Daugavgrīva,57.0408915,24.0131821
23,Torņakalns,56.9275382,24.0905672
24,Zasulauks,56.9478272,24.0512859
25,Čiekurkalns,56.99162399999999,24.1810859
26,Mīlgrāvis,57.0291618,24.1440841
27,Pleskodāle,56.9311632,24.0376521
28,Pētersala-Andrejsala,56.9724855,24.0990676
29,Dreiliņi,56.9504819,24.2355535
30,Šampēteris,56.9429308,24.0386224
31,Mežaparks,57.0121921,24.1538087
32,Vecpilsēta,56.9492755,24.1048991
33,Vecdaugava,57.0517237,24.0923235
34,Berģi,56.9817275,24.2874823
35,Dārziņi,56.86591809999999,24.2681784
36,Jaunciems,57.0337373,24.1802614
37,Bišumuiža,56.91145969999999,24.1340313
38,Šķirotava,56.9172076,24.2080851
39,Brekši,56.9663385,24.3039759
40,Vecāķi,57.0734936,24.1031025
41,Atgāzene,56.91464089999999,24.0819459
42,Mangaļsala,57.0637012,24.0776673
43,Trīsciems,57.05292350000001,24.1304533
44,Skanste,56.9688968,24.1166172
45,Ķīpsala,56.95611109999999,24.0813889
46,Rumbula,56.8866933,24.2254659
47,Bukulti,57.0041283,24.2514733
48,Suži,57.0204689,24.2151219
49,Beberbeķi,56.9455271,23.9597389
50,Kundziņsala,57.001196,24.1063213
51,Voleri,57.0181793,24.0805726
52,Kleisti,56.9937774,24.009341
53,Buļļi,57.013609,23.9760596
54,Mūkupurvs,56.9418747,23.9850614
55,Katlakalns,56.91205429999999,24.1530232
56,Spilve,56.9914281,24.0649428
57,Salas,56.9250182,24.1262723
